	PMID	PT	OT	MH	SI	TI	GR
963	32768974	Journal Article;Review	O  NNLM;COVID19;Challenges;Clinical trials;Infection;SARSCoV2	Antiviral Agents/administration & dosage;Betacoronavirus/isolation & purification;COVID19;COVID19 Testing;*Clinical Laboratory Techniques;Coronavirus Infections/diagnosis/drug therapy/*epidemiology;Disease Outbreaks;Humans;Pandemics;Pneumonia, Viral/diagnosis/drug therapy/*epidemiology;SARSCoV2;DA 2020/09/08 06:00		Outbreak of COVID-19: An emerging global pandemic threat.	
964	32683212	Journal Article;Systematic Review	O  NNLM;*COVID19;*Chloroquine;*Hydroxychloroquine;*Mortality;*SARSCoV2	Antiviral Agents/*therapeutic use;Betacoronavirus;COVID19;Chloroquine/*therapeutic use;Coronavirus Infections/*drug therapy/prevention & control;Humans;Hydroxychloroquine/*therapeutic use;Pandemics/prevention & control;Pneumonia, Viral/*drug therapy/prevention & control;PostExposure Prophylaxis;Prospective Studies;Retrospective Studies;SARSCoV2;DA 2020/10/02 06:00		Update I. A systematic review on the efficacy and safety of 	
965	33296169	Journal Article;Research Support, NonU.S. Gov't	O  NNLM;*COVID19;*SARSCoV2;*antibody;*diagnosis;*inhibitor;*pandemic;*pathogenesis;*therapy;*transmission;*vaccine	DA 2020/12/10 06:00		Recent Insights into Emerging Coronavirus: SARS-CoV-2.	
966	33516247	Journal Article	O  NNLM;COVID19;Coronavirus;Fecal–oral transmission;NGS;SARSCoV2	DA 2021/02/01 06:01	ClinicalTrials.gov/NCT04359836	Detection of SARS-CoV-2 from patient fecal samples by whole genome sequencing.	
967	32896310	Journal Article;Review	O  NNLM;*COVID19;*IL6;*JAK;*SARSCoV2;*STING;*TNFα;*cytokine storm;*cytokines;*hemophagocytic lymphohistiocytosis;*hyperinflammatory;*proinflammatory;*sepsis	Betacoronavirus;COVID19;Coronavirus Infections/*immunology/*therapy;Cytokine Release Syndrome/immunology/*virology;Humans;*Immunomodulation;Interleukin6/*immunology;Pandemics;Pneumonia, Viral/*immunology/*therapy;SARSCoV2;Sepsis/immunology;DA 2020/09/17 06:00		The role of IL-6 and other mediators in the cytokine storm associated with 	P50 GM115305/GM/NIGMS NIH HHS/United States;R01 AI152183/AI/NIAID NIH HHS/United States;R01 HG010863/HG/NHI NIH HHS/United States;R21 AI139021/AI/NIAID NIH HHS/United States
968	32755653	Journal Article	O  NNLM;Covid19;azithromycin;hydroxychloroquine;pneumonia	Adult;Aged;AntiInfective Agents/*therapeutic use;Azithromycin/*therapeutic use;Betacoronavirus/*drug effects/pathogenicity;CReactive Protein/metabolism;COVID19;Coronavirus Infections/diagnostic imaging/*drug therapy/mortality/pathology;Disease Progression;Drug Combinations;Female;Humans;Hydroxychloroquine/*therapeutic use;Intensive Care Units;Lopinavir/*therapeutic use;Male;Middle Aged;Multivariate Analysis;Pandemics;Pneumonia, Viral/diagnostic imaging/*drug therapy/mortality/pathology;Prognosis;Retrospective Studies;Ritonavir/*therapeutic use;SARSCoV2;Survival Analysis;TLymphocytes/pathology/virology;Tomography, XRay Computed;Treatment Outcome;DA 2020/10/02 06:00		Impact of medical care, including use of anti-infective agents, on prognosis of 	
969	32849654	Journal Article;Research Support, NonU.S. Gov't;Review	O  NNLM;*COVID19;*HLA;*MHC presentation;*T cells;*coronavirus;*immune response;*memory T cell	Animals;Antigen Presentation/immunology;Antiviral Agents/therapeutic use;Betacoronavirus/chemistry/*genetics;COVID19;Coronavirus Infections/drug therapy/*immunology/virology;Cytokines/biosynthesis;Genome, Viral;Humans;Immune Evasion;Immunization, Passive/methods;Mice;Middle East Respiratory Syndrome Coronavirus/chemistry/*genetics;Pandemics;Phylogeny;Pneumonia, Viral/drug therapy/*immunology/virology;SARS Virus/chemistry/*genetics;SARSCoV2;Severe Acute Respiratory Syndrome/drug therapy/*immunology/virology;TLymphocytes/immunology;Virus Replication;DA 2020/09/22 06:00		Overview of Immune Response During SARS-CoV-2 Infection: Lessons From the Past.	
970	33251593	Journal Article;Review	O  NNLM;*COVID19;*SARSCoV2;*antiinflammatory;*antivirals;*clinical trials;*immunotherapy	DA 2020/12/01 06:00		Review of registered clinical trials for the treatment of COVID-19.	
971	33045577	Journal Article;Review	O  NNLM;Actemra;COVID19;Coronavirus disease;Tocilizumab	Antibodies, Monoclonal, Humanized/adverse effects/pharmacology/*therapeutic use;COVID19/complications/*drug therapy;Humans;Interleukin6/physiology;Receptors, Interleukin6/*antagonists & inhibitors;*SARSCoV2;DA 2020/12/16 06:00		Tocilizumab for treatment patients with COVID-19: Recommended medication for novel 	
972	32980462	Journal Article	O  NNLM;*Artificial intelligence;*Computational biology;*Covid19;*Evolutionary peptides;*SARSCoV2	Antibodies, Viral/immunology/therapeutic use;Antiviral Agents/therapeutic use;*Artificial Intelligence;COVID19/*drug therapy/pathology/prevention & control/virology;Humans;Molecular Dynamics Simulation;Peptide Library;Peptides/pharmacology/*therapeutic use;SARSCoV2/immunology/isolation & purification/physiology;Viral Vaccines/immunology;Virus Replication/drug effects;DA 2020/12/17 06:00		Evolutionary artificial intelligence based peptide discoveries for effective 	
973	32417709	Journal Article;Review	O  NNLM;Diabetes mellitus;Hypertension arterial;Immune response;Obesity;Vitamin D	AngiotensinConverting Enzyme Inhibitors;Betacoronavirus/*immunology;COVID19;Comorbidity;Coronavirus Infections/drug therapy/*immunology/physiopathology/*therapy;Cytokine Release Syndrome/*physiopathology/therapy;Humans;Hypertension/*immunology/physiopathology;Obesity/complications/*immunology/physiopathology;Pandemics;Pneumonia, Viral/*immunology/physiopathology/*therapy;SARSCoV2;Vitamin D Deficiency/diet therapy/physiopathology;DA 2020/07/28 06:00		Mechanism of inflammatory response in associated comorbidities in COVID-19.	
974	32426374	Journal Article	O  NNLM;Coronavirus Disease 2019;cardiovascular antiinflammatory therapy;cardiovascular diseases;cardiovascular impairment;inflammation	DA 2020/05/20 06:01		Cardiovascular Impairment in COVID-19: Learning From Current Options for 	
975	32991900	Journal Article;Review	O  NNLM;COVID19;Global pandemic;Investigational drugs;SARSCoV2;Vaccine development;Virus mechanism	Antiviral Agents/therapeutic use;COVID19/drug therapy/immunology/*therapy;*Clinical Trials as Topic;Humans;SARSCoV2/drug effects/immunology/physiology;Viral Vaccines/immunology;DA 2020/12/18 06:00		Novel insights into the treatment of SARS-CoV-2 infection: An overview of current 	R01 AI050875/AI/NIAID NIH HHS/United States;R21 AI121700/AI/NIAID NIH HHS/United States
976	33029758	Journal Article;Review	O  NNLM;COVID19;SARSCoV2;angiotensinconverting enzyme 2;cytokine storm;multiple organ failure;reninangiotensin system	AngiotensinConverting Enzyme 2/*metabolism;Biomarkers/metabolism;COVID19/metabolism/*physiopathology;Cytokine Release Syndrome/metabolism/physiopathology/*virology;Cytokines/metabolism;Humans;Inflammation/metabolism/physiopathology/*virology;Multiple Organ Failure/metabolism/physiopathology/*virology;Receptors, Coronavirus/*metabolism;Severity of Illness Index;DA 2021/01/16 06:00		Inflammation Triggered by SARS-CoV-2 and ACE2 Augment Drives Multiple Organ Failure 	
977	33510484	News		Antibodies, Monoclonal/therapeutic use;Biological Products/*therapeutic use;COVID19/drug therapy;Cell and TissueBased Therapy;Drug Approval;Humans;Immunoconjugates/therapeutic use;Internationality;Rare Diseases/drug therapy;United States;United States Food and Drug Administration;DA 2021/03/10 06:00		Refreshing the biologic pipeline 2020.	
978	32432127	Journal Article;Review	O  NNLM;COVID19;QT;QTc;arrhythmia;drug safety;hERG	DA 2020/05/21 06:01		COVID-19 Management and Arrhythmia: Risks and Challenges for Clinicians Treating 	MR/S021299/1/MRC_/Medical Research Council/United Kingdom
979	32574287	Journal Article;Review	O  NNLM;COVID 19 infection;SARS CoV2;breast milk;newborn;pregnancy	DA 2020/06/24 06:01		SARS-CoV-2 Infection and the Newborn.	
980	32838323	Journal Article		DA 2020/08/25 06:01	ClinicalTrials.gov/NCT04347993	Tocilizumab among patients with COVID-19 in the intensive care unit: a multicentre 	
981	32939324	Journal Article;Research Support, NonU.S. Gov't;Review	O  NNLM;*Coronavirus;*Covid19;*SarsCoV2;*cellular;*humoral;*immune response;*immunity	COVID19/diagnosis/*immunology/virology;Host Microbial Interactions/*immunology;Humans;Immunity, Cellular;Immunity, Humoral;Middle East Respiratory Syndrome Coronavirus/immunology;Protective Factors;Risk Factors;SARS Virus/immunology;SARSCoV2/*immunology;Severity of Illness Index;DA 2020/09/18 06:01		Immune responses during COVID-19 infection.	
982	32373347	Journal Article	O  NNLM;Cell biology;Molecular biology	DA 2020/05/07 06:01		The anti-influenza virus drug, arbidol is an efficient inhibitor of SARS-CoV-2 in 	
983	32737841	Journal Article		Amiodarone/*pharmacology;AngiotensinConverting Enzyme 2;AntiArrhythmia Agents/pharmacology;Antiviral Agents/pharmacology;*Arrhythmias, Cardiac/drug therapy/virology;*Betacoronavirus/drug effects/physiology;COVID19;*Coronavirus Infections/drug therapy/metabolism/physiopathology/prevention & control;Humans;*Pandemics/prevention & control;PeptidylDipeptidase A/metabolism;*Pneumonia, Viral/drug therapy/metabolism/physiopathology/prevention & control;Risk Assessment;SARSCoV2;Treatment Outcome;Virus Internalization/drug effects;DA 2020/10/21 06:00		Amiodarone in the COVID-19 Era: Treatment for Symptomatic Patients Only, or Drug to 	
984	32313885	Journal Article;Review	O  NNLM;ACE, angiotensinconverting enzyme;ACE2;AT1R, angiotensin II type 1 receptor;CI, confidence interval;COVID19;COVID19, coronavirus disease2019;CoV, coronavirus;FDA, Food and Drug Administration;IFN, interferon;IL, interleukin;IQR, interquartile range;MERS, Middle East respiratory syndrome;RAS, reninangiotensin system;RNA, ribonucleic acid;SARSCoV2;SARSCoV2, severe acute respiratory syndromecoronavirus2;TMPRSS2, transmembrane protease serine 2;clinical trials;renin angiotensin system;sACE2, soluble angiotensinconverting enzyme 2	DA 2020/04/22 06:01		COVID-19 Clinical Trials: A Primer for the Cardiovascular and Cardio-Oncology 	R01 HL107594/HL/NHLBI NIH HHS/United States;R21 HL141802/HL/NHLBI NIH HHS/United States;U10 HL110309/HL/NHLBI NIH HHS/United States;R01 HL118018/HL/NHLBI NIH HHS/United States;R34 HL146927/HL/NHLBI NIH HHS/United States
985	32855992	Journal Article	O  NNLM;ARDS;COVID19;IRIS;SARSCoV2;granulocytecolony stimulating factor;immune reconstitution inflammatory syndrome	DA 2020/08/29 06:01		A Case of Steroid-Responsive, COVID-19 Immune Reconstitution Inflammatory Syndrome 	
986	32473020	Journal Article;Research Support, NonU.S. Gov't;Review		*Betacoronavirus;COVID19;Clinical Trials as Topic/*methods;Coronavirus Infections/*drug therapy/metabolism;Drug Administration Schedule;Humans;Hydroxychloroquine/*administration & dosage;Pandemics;Pneumonia, Viral/*drug therapy/metabolism;SARSCoV2;DA 2020/09/04 06:00		Rationale of a loading dose initiation for hydroxychloroquine treatment in COVID-19 	
987	33387629	Journal Article	O  NNLM;COVID19;Chlorpromazine;Human cells;Repurposing of molecules;SARSCoV2	A549 Cells;Animals;Antiviral Agents/*pharmacology;COVID19/drug therapy;Cell Line;Chlorocebus aethiops;Chlorpromazine/pharmacokinetics/*pharmacology;*Drug Repositioning;Humans;SARSCoV2/*drug effects;Tissue Distribution;Vero Cells;Virus Replication/*drug effects;DA 2021/03/23 06:00		Inhibition of the replication of SARS-CoV-2 in human cells by the FDA-approved drug 	
988	33117535	Journal Article	O  NNLM;Antioxidant;COVID19;coronavirus;dyspnea;erdosteine;quality of life	DA 2020/10/30 06:01		Changes in quality of life and dyspnoea after hospitalization in COVID-19 patients 	
989	32450198	Journal Article;Review	O  NNLM;COVID19;Chloroquine;Hydroxychloroquine;Pandemic;SARSCoV2	AngiotensinConverting Enzyme 2;Antiviral Agents/*pharmacology;Betacoronavirus/*metabolism;COVID19;Chloroquine/*pharmacology;Coronavirus Infections/*drug therapy/metabolism;*Drug Repositioning;Humans;Hydroxychloroquine/*pharmacology;*Pandemics;PeptidylDipeptidase A/metabolism;Pneumonia, Viral/*drug therapy/metabolism;SARSCoV2;DA 2020/08/22 06:00		A review on possible modes of action of chloroquine/hydroxychloroquine: repurposing 	
990	32623267	Journal Article;Review	O  NNLM;COVID19;Coronavirus;Pandemic;Review;SARSCoV2	*Betacoronavirus/genetics/immunology/physiology;COVID19;Coronavirus Infections/diagnosis/epidemiology/immunology/*virology;Genome, Viral/genetics;HIV Infections/complications;Humans;Pandemics;Pneumonia, Viral/diagnosis/epidemiology/immunology/*virology;SARSCoV2;Virus Replication;DA 2020/08/18 06:00		Clinical, molecular, and epidemiological characterization of the SARS-CoV-2 virus 	
991	32671688	Journal Article;Review	O  NNLM;HCQ;Protease inhibitor;Remdesivir;SARSCoV2;Vaccines	Antiviral Agents/*therapeutic use;Betacoronavirus;COVID19;COVID19 Vaccines;Coronavirus Infections/epidemiology/prevention & control/*therapy;Humans;Pandemics/prevention & control;Pneumonia, Viral/epidemiology/*therapy;Protease Inhibitors/*therapeutic use;SARSCoV2;Viral Vaccines/*therapeutic use;DA 2020/09/15 06:00		Current Status of Multiple Drug Molecules, and Vaccines: An Update in SARS-CoV-2 	R01AG042178, R01AG47812, R01NS105473, and AG060767/U.S. Department of Health and 
992	33162266	Journal Article;Review	O  NNLM;COVID19;Coronavirus;Infectious disease;Pregnancy	Algorithms;COVID19/*diagnosis/*therapy;Emergency Medicine;Female;Humans;Postpartum Period;Pregnancy;Pregnancy Complications, Infectious/*diagnosis/*therapy;*Pregnancy Outcome;DA 2021/02/26 06:00		COVID-19 in pregnancy and the puerperium: A review for emergency physicians.	
993	32485894	Journal Article	O  NNLM;DPP4 inhibitors;HCV protease inhibitors;SARSCoV2;athrombin inhibitors;coronavirus;docking;protease inhibitors	Amino Acid Sequence;Anticoagulants/*chemistry/pharmacology;Antiviral Agents/*chemistry/pharmacology;Betacoronavirus/chemistry/*drug effects/enzymology/genetics;Binding Sites;COVID19;Coronavirus 3C Proteases;Coronavirus Infections/drug therapy;Cysteine Endopeptidases/chemistry/genetics/metabolism;Dipeptidyl Peptidase 4/chemistry/genetics/metabolism;DipeptidylPeptidase IV Inhibitors/*chemistry/pharmacology;Factor Xa/chemistry/genetics/metabolism;Hepacivirus/chemistry/enzymology/genetics;Humans;Molecular Docking Simulation;Pandemics;Pneumonia, Viral/drug therapy;Protease Inhibitors/*chemistry/pharmacology;Protein Binding;Protein Conformation;Protein Interaction Domains and Motifs;SARSCoV2;Sequence Alignment;Structural Homology, Protein;Substrate Specificity;Thermodynamics;Thrombin/antagonists & inhibitors/chemistry/genetics/metabolism;Viral Nonstructural Proteins/*antagonists & inhibitors/chemistry/genetics/metabolism;DA 2020/06/13 06:00		In Silico Evaluation of the Effectivity of Approved Protease Inhibitors against the 	
994	32464097	Journal Article;Research Support, N.I.H., Extramural;Review		Animals;Antiviral Agents/pharmacology;Betacoronavirus/*physiology;COVID19;Coronavirus Infections/drug therapy/*immunology/pathology/virology;Humans;Immune Evasion;Interferon Type I/genetics/*immunology/pharmacology;Interferons/genetics/*immunology/pharmacology;Pandemics;Pneumonia, Viral/drug therapy/*immunology/pathology/virology;Recombinant Proteins/pharmacology;SARSCoV2;Signal Transduction;DA 2020/06/20 06:00		Type I and Type III Interferons - Induction, Signaling, Evasion, and Application to 	R01 AI127429/AI/NIAID NIH HHS/United States;R01 NS111242/NS/NINDS NIH HHS/United States;T32 GM007205/GM/NIGMS NIH HHS/United States;U19 AI089992/AI/NIAID NIH HHS/United States;75N93019C00051/AI/NIAID NIH HHS/United States
995	32376394	Journal Article;Review	O  NNLM;Acute respiratory distress syndrome;COVID19;Cytokine storm;Immunosuppressive;SARSCoV2;Treatment	AngiotensinConverting Enzyme Inhibitors/therapeutic use;Anticoagulants/therapeutic use;Antimalarials/therapeutic use;Antiviral Agents;Betacoronavirus;COVID19;Coronavirus Infections/*therapy;Cytokines/antagonists & inhibitors;Glucocorticoids/therapeutic use;Humans;HydroxymethylglutarylCoA Reductase Inhibitors/therapeutic use;Immunoglobulins, Intravenous/therapeutic use;*Immunomodulation;Janus Kinases/antagonists & inhibitors;Pandemics;Pneumonia, Viral/*therapy;Risk Factors;SARSCoV2;DA 2020/06/11 06:00		Immunomodulatory therapy for the management of severe COVID-19. Beyond the 	
996	32405783	Journal Article;Review	O  NNLM;*COVID19;*Coronavirus;*Diabetes;*SARSCoV2	Betacoronavirus/*pathogenicity;Blood Glucose/metabolism;COVID19;Comorbidity;Coronavirus Infections/blood/complications/*prevention & control;Diabetes Mellitus/*virology;Humans;Pandemics/*prevention & control;Pneumonia, Viral/blood/complications/*prevention & control;SARSCoV2;DA 2020/07/28 06:00		Prevention and management of COVID-19 among patients with diabetes: an appraisal of 	
997	32781244	Journal Article;Multicenter Study	O  NNLM;Age;Creactive proteine;Coronavirus disease 2019;Lactate dehydrogenase;Obesity;Prognostic tool;Severe acute respiratory syndrome coronavirus 2;Severe respiratory failure	Adolescent;Adult;Aged;Aged, 80 and over;Betacoronavirus;COVID19;Child;Child, Preschool;Coronavirus Infections/*diagnosis/epidemiology;Female;Hospitalization;Humans;Italy/epidemiology;*Logistic Models;Male;Middle Aged;Multivariate Analysis;Pandemics;Pneumonia, Viral/*diagnosis/epidemiology;Prognosis;Reproducibility of Results;Respiratory Insufficiency/*diagnosis/epidemiology;Retrospective Studies;Risk Assessment;Risk Factors;SARSCoV2;Sensitivity and Specificity;Young Adult;DA 2020/11/21 06:00	ClinicalTrials.gov/NCT04316949	Development and validation of a prediction model for severe respiratory failure in 	
998	32539378	Journal Article;Research Support, N.I.H., Extramural;Research Support, NonU.S. Gov't;Review		Amino Acid Sequence;AngiotensinConverting Enzyme 2/chemistry/metabolism;AngiotensinConverting Enzyme Inhibitors/therapeutic use;Animals;Antiviral Agents/*therapeutic use;COVID19/*drug therapy/prevention & control;Cathepsin L/antagonists & inhibitors;Cell Line;Humans;Protein Domains;SARSCoV2/*drug effects;Spike Glycoprotein, Coronavirus/antagonists & inhibitors;Virus Internalization/*drug effects;DA 2020/12/15 06:00		Inhibitors of SARS-CoV-2 Entry: Current and Future Opportunities.	R01 AI150491/AI/NIAID NIH HHS/United States;R01 NS089435/NS/NINDS NIH HHS/United States
999	32873977	Journal Article		COVID19;Clinical Trials as Topic/*standards;Coronavirus Infections/*epidemiology;Humans;Informed Consent/standards;*Pandemics;Patient Selection;Pneumonia, Viral/*epidemiology;Quality Improvement;Telemedicine/standards;DA 2020/10/21 06:00		The COVID-19 pandemic: a catalyst to improve clinical trials.	
1000	33138197	Journal Article;Review	O  NNLM;2019nCoV;SARSCoV2;antiviral activity;antiviral agent;antiviral immunity	Animals;Antiviral Agents/*therapeutic use;Betacoronavirus/*drug effects;COVID19;Coronavirus Infections/*drug therapy;Forecasting;Honey/*analysis;Humans;Immunologic Factors/therapeutic use;Pandemics;Phytochemicals/isolation & purification/*pharmacology;Pneumonia, Viral/*drug therapy;SARSCoV2;DA 2020/11/18 06:00		Antiviral and Immunomodulatory Effects of Phytochemicals from Honey against 	
1001	32754159	Journal Article	O  NNLM;*COVID19;*autoimmunity;*critical care;*cytokine storm;*guidelines;*immunological mechanisms;*immunotherapies;*neuroimmunology	Adrenal Cortex Hormones/therapeutic use;AngiotensinConverting Enzyme 2;AntiInflammatory Agents, NonSteroidal/therapeutic use;Betacoronavirus/*immunology;CD4CD8 Ratio;CD4Positive TLymphocytes/immunology;CD8Positive TLymphocytes/immunology;COVID19;Clinical DecisionMaking/methods;Coronavirus Infections/blood/*drug therapy/*immunology/mortality;Critical Care/*methods;Critical Illness;Cytokines/*blood;Endothelial Cells/metabolism;Female;Humans;Immunocompromised Host;Interleukin6/antagonists & inhibitors;Janus Kinase Inhibitors/therapeutic use;Male;Pandemics;PeptidylDipeptidase A/metabolism;Pneumonia, Viral/blood/*drug therapy/*immunology/mortality;SARSCoV2;Sex Factors;Thrombosis;DA 2020/08/22 06:00		Cytokine Storm in COVID-19-Immunopathological Mechanisms, Clinical Considerations, 	001/WHO_/World Health Organization/International
1002	32992048	Journal Article;Multicenter Study;Observational Study	O  NNLM;*ACEI;*ARB;*Angiotensin converting enzyme inhibitors;*Angiotensin receptor blockers;*COVID−19;*Mortality;*Sartans	Aged;Aged, 80 and over;Angiotensin Receptor Antagonists/adverse effects/*therapeutic use;AngiotensinConverting Enzyme Inhibitors/adverse effects/*therapeutic use;Antihypertensive Agents/adverse effects/*therapeutic use;COVID19/diagnosis/*mortality/therapy;Female;*Hospital Mortality;Hospitalization;Humans;Hypertension/*drug therapy/epidemiology/physiopathology;Incidence;Italy/epidemiology;Male;MetaAnalysis as Topic;Middle Aged;ReninAngiotensin System/*drug effects;Risk Assessment;Risk Factors;Severity of Illness Index;DA 2020/12/15 06:00	ClinicalTrials.gov/NCT04318418	RAAS inhibitors are not associated with mortality in COVID-19 patients: Findings 	
1003	33199136	Journal Article;Review	O  NNLM;COVID19;Clinical trials;Pandemic;Repurposed medicine;SARSCoV2;Vaccine	DA 2020/11/18 06:00		In-line treatments and clinical initiatives to fight against COVID-19 outbreak.	
1004	33065275	Journal Article	O  NNLM;*COVID19;*Older adults;*Quasiexperimental study;*SARSCoV2;*Therapeutics;*Vitamin D	Aged;Aged, 80 and over;Betacoronavirus/genetics/pathogenicity;COVID19;Cholecalciferol/*administration & dosage;Coronavirus Infections/*genetics/mortality/pathology/virology;Female;Hospitalization;Humans;Male;Middle Aged;NonRandomized Controlled Trials as Topic;Pandemics;Pneumonia, Viral/*genetics/mortality/pathology/virology;SARSCoV2;Severity of Illness Index;Survival Rate;Vitamin D/*genetics/metabolism;DA 2020/12/01 06:00		Vitamin D and survival in COVID-19 patients: A quasi-experimental study.	
1005	32694043	Clinical Trial;Journal Article;Multicenter Study	O  NNLM;COVID19;Clinical trial;Convalescent plasma;Hospital stay;Mortality rate	Adult;Aged;Aged, 80 and over;COVID19/immunology/*therapy;Female;Humans;Immunization, Passive/adverse effects;Male;Middle Aged;SARSCoV2/immunology/physiology;Treatment Outcome;Young Adult;DA 2020/12/15 06:00		Clinical efficacy of convalescent plasma for treatment of COVID-19 infections: 	
1006	32924956	Journal Article	O  NNLM;COVID19;SARSCoV2;antimalarial;coronavirus;drug;immune system;immunology;mortality;observational;pharmacological;protocol;rheumatic diseases	DA 2020/09/15 06:01		Impact of Chronic Use of Antimalarials on SARS-CoV-2 Infection in Patients With 	
1007	32411941	Journal Article	O  NNLM;COVID19;chloroquine;hydroxychloroquine;pandemic	DA 2020/05/16 06:01		When there is a pandemic there is no time to waste: should we have 	
1008	32841640	Journal Article	O  NNLM;ACE2;COVID19;Drug repurposition;Molecular docking;Molecular dynamics simulations;RdRp;Spike protein	Amino Acid Sequence;AngiotensinConverting Enzyme 2;COVID19;*Computational Biology;Coronavirus Infections/*drug therapy/metabolism;*Drug Repositioning;Humans;Molecular Docking Simulation;Molecular Dynamics Simulation;Molecular Targeted Therapy;Pandemics;PeptidylDipeptidase A/chemistry/metabolism;Pneumonia, Viral/*drug therapy/metabolism;Protein Structure, Tertiary;RNADependent RNA Polymerase/chemistry/metabolism;Spike Glycoprotein, Coronavirus/chemistry/metabolism;DA 2020/10/21 06:00		Viroinformatics approach to explore the inhibitory mechanism of existing drugs 	
1009	32452888	Journal Article;Observational Study		Aged;*Betacoronavirus;COVID19;Cohort Studies;Comorbidity;Coronavirus Infections/complications/*mortality/therapy;Critical Illness;Female;Georgia/epidemiology;Hospital Mortality;Humans;Intensive Care Units;Male;Middle Aged;Organ Dysfunction Scores;Pandemics;Pneumonia, Viral/complications/*mortality/therapy;*Respiration, Artificial;Respiratory Distress Syndrome/etiology/*mortality/therapy;SARSCoV2;Socioeconomic Factors;DA 2020/09/04 06:00		ICU and Ventilator Mortality Among Critically Ill Adults With Coronavirus Disease 	K23 AI134182/AI/NIAID NIH HHS/United States;UL1 TR002378/TR/NCATS NIH HHS/United States
1010	32334062	Journal Article;Research Support, NonU.S. Gov't;Review	O  NNLM;*ACE2 blocker;*Antimalaria;*Antiviral: Chinese traditional medicine;*COVID19;*Immunoenhancer;*Monoclonal antibody;*Vaccine	Adrenal Cortex Hormones/therapeutic use;AngiotensinConverting Enzyme 2;AntiInflammatory Agents, NonSteroidal/therapeutic use;Antibodies, Monoclonal, Humanized/therapeutic use;Anticoagulants/therapeutic use;Antimalarials/therapeutic use;Antiviral Agents/therapeutic use;Betacoronavirus;Bevacizumab/therapeutic use;COVID19;COVID19 Vaccines;Chloroquine/therapeutic use;Coronavirus Infections/drug therapy/prevention & control/*therapy;Humans;Hydroxychloroquine/therapeutic use;Immunization, Passive;Immunoglobulins, Intravenous/therapeutic use;Immunologic Factors/therapeutic use;Interferons/therapeutic use;Janus Kinase Inhibitors/therapeutic use;Killer Cells, Natural;Medicine, Chinese Traditional;Mesenchymal Stem Cell Transplantation;Nitric Oxide/therapeutic use;Pandemics;PeptidylDipeptidase A;Pneumonia, Viral/*therapy;SARSCoV2;Spike Glycoprotein, Coronavirus;Trace Elements/therapeutic use;Viral Vaccines/therapeutic use;Vitamins/therapeutic use;Zinc/therapeutic use;DA 2020/07/03 06:00		Current status of potential therapeutic candidates for the COVID-19 crisis.	
1011	32344166	Journal Article;Review	O  NNLM;COVID19;Coronavirus;Novel coronavirus;SARSCoV2	Betacoronavirus/genetics/*pathogenicity/physiology;COVID19;Communicable Disease Control/*methods;Coronavirus Infections/*diagnosis/epidemiology/*pathology/transmission;Humans;Pandemics;Pneumonia, Viral/*diagnosis/epidemiology/*pathology/transmission;SARSCoV2;Virus Shedding/physiology;DA 2020/07/01 06:00		COVID-19 pandemic-a focused review for clinicians.	MC_PC_19026/MRC_/Medical Research Council/United Kingdom;MC_UU_12014/9/MRC_/Medical Research Council/United Kingdom
1012	33015643	Journal Article		DA 2020/10/06 06:01	ClinicalTrials.gov/NCT04333420	Anti-C5a antibody IFX-1 (vilobelimab) treatment versus best supportive care for 	
1013	32603692	Journal Article;Review	O  NNLM;COVID19;Clinical trials;Coronavirus;Pharmacological treatments;SARSCoV2;Therapies	Adenosine Monophosphate/analogs & derivatives/pharmacology/therapeutic use;Adjuvants, Immunologic/*pharmacology/therapeutic use;Alanine/analogs & derivatives/pharmacology/therapeutic use;Antiviral Agents/*pharmacology/therapeutic use;Betacoronavirus/*drug effects/immunology/pathogenicity;COVID19;Clinical Trials as Topic;Coronavirus Infections/*drug therapy/epidemiology/virology;Glucocorticoids/pharmacology/therapeutic use;Heparin, LowMolecularWeight/pharmacology/therapeutic use;Humans;Hydroxychloroquine/pharmacology/therapeutic use;Immunity, Innate/drug effects;Inflammation Mediators/*pharmacology/therapeutic use;Oseltamivir/pharmacology/therapeutic use;Pandemics;Pneumonia, Viral/*drug therapy/epidemiology/virology;SARSCoV2;Treatment Outcome;DA 2020/08/08 06:00		Current pharmacological treatments for SARS-COV-2: A narrative review.	
